Tower_Kills_Blue,Inhib_Kills_Blue,Baron_Kills_Blue,Dragon_Kills_Blue,Rift_Kills_Blue,Tower_Kills_Red,Inhib_Kills_Red,Baron_Kills_Red,Dragon_Kills_Red,Rift_Kills_Red,First_Blood,First_Tower,First_Inhibitor,First_Baron,First_Dragon,First_Rift_Herald,Winner
3,0,0,1,1,7,1,1,3,0,Red,Blue,Red,Red,Red,Blue,Red
10,2,1,2,1,1,0,0,3,1,Red,Blue,Blue,Blue,Red,Blue,Blue
4,0,0,3,0,9,2,2,2,1,Blue,Blue,Red,Red,Blue,Red,Red
0,0,0,0,0,9,1,0,4,2,Red,Red,Red,Red,Red,Red,Red
7,0,0,1,2,1,0,0,1,0,Red,Blue,Red,Red,Blue,Blue,Blue
4,0,0,2,0,10,1,2,3,0,Red,Red,Red,Red,Blue,Red,Red
1,0,0,0,0,7,1,0,2,1,Red,Red,Red,Red,Red,Red,Red
7,1,0,2,1,1,0,0,0,0,Blue,Blue,Blue,Red,Blue,Blue,Blue
3,0,0,1,1,10,2,1,3,1,Blue,Blue,Red,Red,Red,Blue,Red
7,1,1,2,1,6,0,0,1,0,Red,Red,Blue,Blue,Blue,Blue,Blue
2,0,0,1,0,10,2,1,3,1,Red,Red,Red,Red,Red,Red,Red
11,5,2,4,2,3,0,0,1,0,Blue,Blue,Blue,Blue,Blue,Blue,Blue
3,0,0,0,2,4,0,1,4,0,Red,Blue,Red,Red,Red,Blue,Red
6,1,1,2,1,4,0,0,2,0,Red,Blue,Blue,Blue,Blue,Blue,Blue
2,0,0,1,1,8,2,1,3,1,Blue,Red,Red,Red,Red,Blue,Red
1,0,0,0,0,6,1,1,3,0,Red,Red,Red,Red,Red,Red,Red
8,1,1,4,0,6,0,0,2,2,Blue,Red,Blue,Blue,Red,Red,Blue
9,3,0,4,1,1,0,0,0,0,Blue,Blue,Blue,Red,Blue,Blue,Blue
0,0,0,1,1,5,0,0,0,0,Red,Red,Red,Red,Blue,Blue,Red
8,1,0,3,1,0,0,0,0,0,Blue,Blue,Blue,Red,Blue,Blue,Blue
1,0,0,2,0,10,2,0,1,1,Blue,Red,Red,Red,Blue,Red,Red
0,0,0,0,0,0,0,0,0,0,Red,Red,Red,Red,Red,Red,Red
6,1,0,2,1,0,0,0,0,0,Blue,Blue,Blue,Red,Blue,Blue,Blue
3,0,0,1,1,10,1,1,3,1,Red,Blue,Red,Red,Blue,Red,Red
5,1,0,1,2,0,0,0,1,0,Blue,Blue,Blue,Red,Red,Blue,Blue
7,1,0,2,2,0,0,0,1,0,Blue,Blue,Blue,Red,Blue,Blue,Blue
7,1,0,2,1,0,0,0,0,0,Blue,Blue,Blue,Red,Blue,Blue,Blue
4,0,0,2,2,0,0,0,0,0,Red,Blue,Red,Red,Blue,Blue,Blue
0,0,0,0,0,11,2,1,3,1,Blue,Red,Red,Red,Red,Red,Red
3,0,0,1,2,10,2,1,3,0,Red,Red,Red,Red,Red,Blue,Red
2,0,0,0,0,9,2,1,4,2,Blue,Red,Red,Red,Red,Red,Red
10,2,1,4,1,1,0,0,0,1,Blue,Blue,Blue,Blue,Blue,Red,Blue
9,2,1,4,1,2,0,0,1,1,Blue,Blue,Blue,Blue,Blue,Red,Blue
1,0,0,0,1,5,0,0,3,1,Red,Red,Red,Red,Red,Red,Red
7,1,0,2,1,4,0,0,0,1,Red,Blue,Blue,Red,Blue,Red,Blue
